sample_idx,image_id,iou,prediction,pred_boxes,gt_boxes
0,0041129077641_1,0.8440324304352892,"nutrition-table(282,495),(728,628)","[[0.282, 0.495, 0.728, 0.628]]","[[0.4871672987937927, 0.27339744567871094, 0.6409340500831604, 0.7304487228393555]]"
1,0070200581159_1,0.9515048765232893,"nutrition-table(266,251),(782,448)","[[0.266, 0.251, 0.782, 0.448]]","[[0.24662990868091583, 0.26552286744117737, 0.4532569646835327, 0.7825552225112915]]"
2,0064144043064_2,0.7365966484516889,"nutrition-table(35,101),(936,410)","[[0.035, 0.101, 0.936, 0.41]]","[[0.10315078496932983, 0.04094965010881424, 0.5143317580223083, 0.9385930299758911]]"
3,0051500700167_1,0.6666268966986368,"nutrition-table(191,385),(526,855)","[[0.191, 0.385, 0.526, 0.855]]","[[0.3143387734889984, 0.16432449221611023, 0.8336485028266907, 0.5847028493881226]]"
4,0016447100951_1,0.9016766973561938,"nutrition-table(352,358),(562,600)","[[0.352, 0.358, 0.562, 0.6]]","[[0.3629959225654602, 0.3499999940395355, 0.6154987215995789, 0.559499979019165]]"
5,26195070_4,0.8390081911440175,"nutrition-table(322,141),(706,712)","[[0.322, 0.141, 0.706, 0.712]]","[[0.14399999380111694, 0.31886398792266846, 0.8074771165847778, 0.7026360034942627]]"
6,0041244641024_3,0.9958208953030407,"nutrition-table(0,0),(1000,1000)","[[0.0, 0.0, 1.0, 1.0]]","[[0.0, 0.004179104696959257, 1.0, 1.0]]"
7,26235066_5,0.7905631108879921,"nutrition-table(241,448),(848,735)","[[0.241, 0.448, 0.848, 0.735]]","[[0.44200000166893005, 0.2275555580854416, 0.7934580445289612, 0.8545454740524292]]"
8,3571492670004_7,0.987851664180429,"nutrition-table(15,13),(962,623)","[[0.015, 0.013, 0.962, 0.623]]","[[0.013333333656191826, 0.013641132973134518, 0.6200000047683716, 0.9569779634475708]]"
9,3256224806950_3,0.9692981489356521,"nutrition-table(39,266),(566,968)","[[0.039, 0.266, 0.566, 0.968]]","[[0.2606924772262573, 0.04060913622379303, 0.9775967597961426, 0.5697969794273376]]"
10,0072417153051_3,0.4697982381425206,"nutrition-table(271,296),(688,821)","[[0.271, 0.296, 0.688, 0.821]]","[[0.29858630895614624, 0.26605692505836487, 0.828700840473175, 0.7013829350471497], [0.823117196559906, 0.39508920907974243, 0.9998784065246582, 0.6713286638259888]]"
11,103106_4,0.9959022009902574,"nutrition-table(1,0),(997,1000)","[[0.001, 0.0, 0.997, 1.0]]","[[0.0, 0.0, 0.9999014139175415, 1.0]]"
12,20635923_2,0.1727208844876024,"nutrition-table-text(625,108),(882,870)","[[0.625, 0.108, 0.882, 0.87]]","[[0.09556451439857483, 0.5580645203590393, 0.8540322780609131, 0.6822580695152283]]"
13,0072417159152_2,0.2994653417502378,"nutrition-table(136,400),(559,907)","[[0.136, 0.4, 0.559, 0.907]]","[[0.38945814967155457, 0.12035106122493744, 0.920936107635498, 0.5695050358772278], [0.4714052379131317, 0.9252451062202454, 0.7589869499206543, 1.0], [0.9230769276618958, 0.2405594438314438, 1.0, 0.5277389287948608]]"
14,3250390768296_4,0.2362582672092307,"nutrition-table-small-energy(845,500),(893,662)","[[0.845, 0.5, 0.893, 0.662]]","[[0.5320000052452087, 0.8619999885559082, 0.653333306312561, 0.9035000205039978], [0.6473333239555359, 0.8604999780654907, 0.6800000071525574, 0.8934999704360962]]"
15,0071479000013_3,0.7327338535671909,"nutrition-table(162,475),(503,858)","[[0.162, 0.475, 0.503, 0.858]]","[[0.46631360054016113, 0.16328157484531403, 0.8867363929748535, 0.5844765901565552]]"
16,0011225033674_1,0.8970445704562309,"nutrition-table(25,246),(942,638)","[[0.025, 0.246, 0.942, 0.638]]","[[0.24183006584644318, 0.00413223123177886, 0.6684964895248413, 0.9433210492134094]]"
17,7610700946053_2,0.5522061734394309,"nutrition-table-text(255,745),(962,839)","[[0.255, 0.745, 0.962, 0.839]]","[[0.7250000238418579, 0.2754901945590973, 0.8102940917015076, 0.9519608020782471]]"
18,0064100108219_3,0.9521738371860706,"nutrition-table(176,139),(656,637)","[[0.176, 0.139, 0.656, 0.637]]","[[0.13878469169139862, 0.17900000512599945, 0.6204050779342651, 0.6520000100135803]]"
19,0073416006102_2,0.9606697399035256,"nutrition-table(272,221),(578,561)","[[0.272, 0.221, 0.578, 0.561]]","[[0.2250562608242035, 0.2705000042915344, 0.5592648386955261, 0.5724999904632568]]"
20,26058450_2,0.801,"nutrition-table(0,0),(1000,801)","[[0.0, 0.0, 1.0, 0.801]]","[[0.0, 0.0, 1.0, 1.0]]"
21,27429464_2,0.9288691123346283,"nutrition-table(176,519),(479,892)","[[0.176, 0.519, 0.479, 0.892]]","[[0.5258487462997437, 0.17219632863998413, 0.9063465595245361, 0.4806462228298187]]"
22,26052656_1,0.0,"nutrition-table-small-energy(135,515),(231,605)","[[0.135, 0.515, 0.231, 0.605]]","[[0.7760900259017944, 0.11100000143051147, 0.8101266026496887, 0.15700000524520874]]"
23,26036120_5,0.9473850397597723,"nutrition-table(18,21),(983,735)","[[0.018, 0.021, 0.983, 0.735]]","[[0.0, 0.01923076994717121, 0.7484999895095825, 0.9884615540504456]]"
24,0042272005420_2,0.9493108682169537,"nutrition-table(11,59),(987,975)","[[0.011, 0.059, 0.987, 0.975]]","[[0.04528439790010452, 0.010638297535479069, 0.949276864528656, 0.9953815937042236]]"
25,26191225_2,0.7258414279803911,"nutrition-table(45,116),(895,531)","[[0.045, 0.116, 0.895, 0.531]]","[[0.09071678668260574, 0.035555556416511536, 0.6459755301475525, 0.874666690826416]]"
26,3250391868322_1,0.10137732602291952,"nutrition-table-small-energy(69,386),(139,438)","[[0.069, 0.386, 0.139, 0.438]]","[[0.41140130162239075, 0.08299999684095383, 0.4372367262840271, 0.5504999756813049]]"
27,3222472951582_1,0.5502639743381981,"nutrition-table-text(166,435),(845,525)","[[0.166, 0.435, 0.845, 0.525]]","[[0.4035947620868683, 0.15716911852359772, 0.5028594732284546, 0.8403798937797546]]"
28,0028400160148_3,0.9786086378584005,"nutrition-table(262,83),(692,526)","[[0.262, 0.083, 0.692, 0.526]]","[[0.07842205464839935, 0.26057693362236023, 0.5247148275375366, 0.6942307949066162]]"
29,50172436_2,0.9188776562878495,"nutrition-table(238,533),(762,815)","[[0.238, 0.533, 0.762, 0.815]]","[[0.5185453295707703, 0.2475000023841858, 0.8144303560256958, 0.7538642883300781]]"
30,3564700435106_1,0.988735913430798,"nutrition-table(35,455),(768,787)","[[0.035, 0.455, 0.768, 0.787]]","[[0.45500001311302185, 0.03333333507180214, 0.7839999794960022, 0.7680000066757202]]"
31,0070852000527_3,0.6411232899490359,"nutrition-table(265,298),(718,688)","[[0.265, 0.298, 0.718, 0.688]]","[[0.30067017674446106, 0.2668306231498718, 0.6809813380241394, 0.5646584630012512]]"
32,0074333375531_2,0.8810057590790331,"nutrition-table(315,19),(800,425)","[[0.315, 0.019, 0.8, 0.425]]","[[0.01549999974668026, 0.3271111249923706, 0.42129722237586975, 0.8428096771240234]]"
33,0024138012322_3,0.7684445545597471,"nutrition-table(255,213),(732,751)","[[0.255, 0.213, 0.732, 0.751]]","[[0.2523888945579529, 0.22534170746803284, 0.7603698968887329, 0.7976398468017578]]"
34,0028400071345_2,0.11029071657427335,"nutrition-table(116,296),(500,731)","[[0.116, 0.296, 0.5, 0.731]]","[[0.3015168607234955, 0.41604506969451904, 0.730426013469696, 0.8717617392539978]]"
35,0041449003153_2,0.18456477753122183,"nutrition-table(65,231),(475,798)","[[0.065, 0.231, 0.475, 0.798]]","[[0.05151815712451935, 0.1816302090883255, 0.493232786655426, 0.7731568813323975]]"
36,20720162_2,0.8889879625971833,"nutrition-table(238,121),(735,710)","[[0.238, 0.121, 0.735, 0.71]]","[[0.12224264442920685, 0.22811885178089142, 0.7647966742515564, 0.7385438084602356]]"
37,3700003780349_1,0.0,"nutrition-table-small-energy(771,481),(865,631)","[[0.771, 0.481, 0.865, 0.631]]","[[0.729903519153595, 0.18820860981941223, 0.8062701225280762, 0.7962422966957092]]"
38,0037600106252_4,0.8936859274966129,"nutrition-table(233,233),(532,658)","[[0.233, 0.233, 0.532, 0.658]]","[[0.24952471256256104, 0.24551281332969666, 0.6686172485351562, 0.5339743494987488]]"
39,0070970471254_2,0.4075997933525921,"nutrition-table(302,491),(798,651)","[[0.302, 0.491, 0.798, 0.651]]","[[0.48591768741607666, 0.3756026327610016, 0.6485020518302917, 0.7986351251602173], [0.2554838955402374, 0.15960527956485748, 0.4497726559638977, 0.3202105164527893]]"
40,01575118_2,0.1911623668803036,"nutrition-table-text(235,315),(760,407)","[[0.235, 0.315, 0.76, 0.407]]","[[0.31554079055786133, 0.3503975570201874, 0.636206328868866, 0.544193685054779]]"
41,0016000264694_1,0.8460331057406133,"nutrition-table-text(40,406),(769,706)","[[0.04, 0.406, 0.769, 0.706]]","[[0.3866666555404663, 0.023499999195337296, 0.6819999814033508, 0.7684999704360962]]"
42,0021000653218_1,0.1954105184844626,"nutrition-table(383,25),(553,376)","[[0.383, 0.025, 0.553, 0.376]]","[[0.023000000044703484, 0.12087912112474442, 0.4505000114440918, 0.8351648449897766]]"
43,20840822_1,0.961653140435819,"nutrition-table(39,475),(482,731)","[[0.039, 0.475, 0.482, 0.731]]","[[0.46799999475479126, 0.03911111131310463, 0.7335000038146973, 0.48088890314102173]]"
44,0011156054502_2,0.9756124164523341,"nutrition-table(100,66),(859,640)","[[0.1, 0.066, 0.859, 0.64]]","[[0.05943627282977104, 0.09191176295280457, 0.639399528503418, 0.8602941036224365]]"
45,0016000275348_2,0.8978522408846866,"nutrition-table(382,55),(685,380)","[[0.382, 0.055, 0.685, 0.38]]","[[0.057999998331069946, 0.3964444398880005, 0.36500000953674316, 0.6844444274902344]]"
46,0046100001639_2,0.8734332206348722,"nutrition-table(325,188),(751,516)","[[0.325, 0.188, 0.751, 0.516]]","[[0.20350150763988495, 0.3102409541606903, 0.5343173146247864, 0.7510040402412415]]"
47,0018627703211_3,0.5098263764600038,"nutrition-table(41,211),(925,798)","[[0.041, 0.211, 0.925, 0.798]]","[[0.1816176474094391, 0.03614457696676254, 0.5360293984413147, 0.9728915691375732]]"
48,0073007107140_1,0.8923933972170931,"nutrition-table(513,460),(753,698)","[[0.513, 0.46, 0.753, 0.698]]","[[0.46031367778778076, 0.5147435665130615, 0.677281379699707, 0.7496795058250427]]"
49,0036200013694_2,0.932839572020947,"nutrition-table(355,362),(645,758)","[[0.355, 0.362, 0.645, 0.758]]","[[0.3607959449291229, 0.360897421836853, 0.7608770132064819, 0.6565102338790894]]"
50,26191218_2,0.708630859038042,"nutrition-table(66,161),(860,537)","[[0.066, 0.161, 0.86, 0.537]]","[[0.14920978248119354, 0.07199999690055847, 0.6732797026634216, 0.8524444699287415]]"
51,20574369_2,0.7908082024435311,"nutrition-table(578,621),(850,751)","[[0.578, 0.621, 0.85, 0.751]]","[[0.621874988079071, 0.510937511920929, 0.7515624761581421, 0.8515625]]"
52,26167932_4,0.7996560138444138,"nutrition-table(15,0),(981,816)","[[0.015, 0.0, 0.981, 0.816]]","[[0.0, 0.006267217453569174, 1.0, 0.9920110702514648]]"
53,0049000027624_2,0.8055928104570521,"nutrition-table(35,138),(882,880)","[[0.035, 0.138, 0.882, 0.88]]","[[0.15746968984603882, 0.032596733421087265, 0.8628473281860352, 0.7546992897987366]]"
