sample_idx,image_id,iou,prediction,pred_boxes,gt_boxes
0,0041129077641_1,0.8268438675038715,"nutrition-table(281,493),(728,623)","[[0.281, 0.493, 0.728, 0.623]]","[[0.4871672987937927, 0.27339744567871094, 0.6409340500831604, 0.7304487228393555]]"
1,0070200581159_1,0.9489214020621826,"nutrition-table(268,250),(780,448)","[[0.268, 0.25, 0.78, 0.448]]","[[0.24662990868091583, 0.26552286744117737, 0.4532569646835327, 0.7825552225112915]]"
2,0064144043064_2,0.7655542202621824,"nutrition-table(39,105),(931,423)","[[0.039, 0.105, 0.931, 0.423]]","[[0.10315078496932983, 0.04094965010881424, 0.5143317580223083, 0.9385930299758911]]"
3,0051500700167_1,0.6609552109840698,"nutrition-table(186,396),(523,848)","[[0.186, 0.396, 0.523, 0.848]]","[[0.3143387734889984, 0.16432449221611023, 0.8336485028266907, 0.5847028493881226]]"
4,0016447100951_1,0.9311077240350583,"nutrition-table(353,358),(562,609)","[[0.353, 0.358, 0.562, 0.609]]","[[0.3629959225654602, 0.3499999940395355, 0.6154987215995789, 0.559499979019165]]"
5,26195070_4,0.9009170871411886,"nutrition-table(319,137),(712,762)","[[0.319, 0.137, 0.712, 0.762]]","[[0.14399999380111694, 0.31886398792266846, 0.8074771165847778, 0.7026360034942627]]"
6,0041244641024_3,0.9958208953030407,"nutrition-table(0,0),(1000,1000)","[[0.0, 0.0, 1.0, 1.0]]","[[0.0, 0.004179104696959257, 1.0, 1.0]]"
7,26235066_5,0.7345594638234392,"nutrition-table(236,446),(800,733)","[[0.236, 0.446, 0.8, 0.733]]","[[0.44200000166893005, 0.2275555580854416, 0.7934580445289612, 0.8545454740524292]]"
8,3571492670004_7,0.9784330251150322,"nutrition-table(25,10),(956,622)","[[0.025, 0.01, 0.956, 0.622]]","[[0.013333333656191826, 0.013641132973134518, 0.6200000047683716, 0.9569779634475708]]"
9,3256224806950_3,0.9761813408891699,"nutrition-table(39,263),(566,970)","[[0.039, 0.263, 0.566, 0.97]]","[[0.2606924772262573, 0.04060913622379303, 0.9775967597961426, 0.5697969794273376]]"
10,0072417153051_3,0.47770780798979473,"nutrition-table(271,295),(693,848)","[[0.271, 0.295, 0.693, 0.848]]","[[0.29858630895614624, 0.26605692505836487, 0.828700840473175, 0.7013829350471497], [0.823117196559906, 0.39508920907974243, 0.9998784065246582, 0.6713286638259888]]"
11,103106_4,0.9831129212515204,"nutrition-table(15,0),(999,999)","[[0.015, 0.0, 0.999, 0.999]]","[[0.0, 0.0, 0.9999014139175415, 1.0]]"
12,20635923_2,0.469778413442786,"nutrition-table-text(555,135),(812,851)","[[0.555, 0.135, 0.812, 0.851]]","[[0.09556451439857483, 0.5580645203590393, 0.8540322780609131, 0.6822580695152283]]"
13,0072417159152_2,0.3119764810653956,"nutrition-table(130,388),(553,923)","[[0.13, 0.388, 0.553, 0.923]]","[[0.38945814967155457, 0.12035106122493744, 0.920936107635498, 0.5695050358772278], [0.4714052379131317, 0.9252451062202454, 0.7589869499206543, 1.0], [0.9230769276618958, 0.2405594438314438, 1.0, 0.5277389287948608]]"
14,3250390768296_4,0.22708864652352034,"nutrition-table-small-energy(841,500),(892,679)","[[0.841, 0.5, 0.892, 0.679]]","[[0.5320000052452087, 0.8619999885559082, 0.653333306312561, 0.9035000205039978], [0.6473333239555359, 0.8604999780654907, 0.6800000071525574, 0.8934999704360962]]"
15,0071479000013_3,0.9445223325230939,"nutrition-table(166,476),(580,880)","[[0.166, 0.476, 0.58, 0.88]]","[[0.46631360054016113, 0.16328157484531403, 0.8867363929748535, 0.5844765901565552]]"
16,0011225033674_1,0.9340411615929093,"nutrition-table(25,236),(946,656)","[[0.025, 0.236, 0.946, 0.656]]","[[0.24183006584644318, 0.00413223123177886, 0.6684964895248413, 0.9433210492134094]]"
17,7610700946053_2,0.5300201281003782,"nutrition-table-text(261,735),(970,861)","[[0.261, 0.735, 0.97, 0.861]]","[[0.7250000238418579, 0.2754901945590973, 0.8102940917015076, 0.9519608020782471]]"
18,0064100108219_3,0.6112655496587807,"nutrition-table(176,138),(660,908)","[[0.176, 0.138, 0.66, 0.908]]","[[0.13878469169139862, 0.17900000512599945, 0.6204050779342651, 0.6520000100135803]]"
19,0073416006102_2,0.9448709902862807,"nutrition-table(271,221),(580,553)","[[0.271, 0.221, 0.58, 0.553]]","[[0.2250562608242035, 0.2705000042915344, 0.5592648386955261, 0.5724999904632568]]"
20,26058450_2,0.8,"nutrition-table(0,0),(1000,800)","[[0.0, 0.0, 1.0, 0.8]]","[[0.0, 0.0, 1.0, 1.0]]"
21,27429464_2,0.9582020847893706,"nutrition-table(173,521),(484,900)","[[0.173, 0.521, 0.484, 0.9]]","[[0.5258487462997437, 0.17219632863998413, 0.9063465595245361, 0.4806462228298187]]"
22,26052656_1,0.0,"nutrition-table-small-energy(135,515),(226,599)","[[0.135, 0.515, 0.226, 0.599]]","[[0.7760900259017944, 0.11100000143051147, 0.8101266026496887, 0.15700000524520874]]"
23,26036120_5,0.9055035985884057,"nutrition-table(21,31),(980,716)","[[0.021, 0.031, 0.98, 0.716]]","[[0.0, 0.01923076994717121, 0.7484999895095825, 0.9884615540504456]]"
24,0042272005420_2,0.9573770913278965,"nutrition-table(10,65),(980,954)","[[0.01, 0.065, 0.98, 0.954]]","[[0.04528439790010452, 0.010638297535479069, 0.949276864528656, 0.9953815937042236]]"
25,26191225_2,0.6533423697567359,"nutrition-table(45,111),(875,478)","[[0.045, 0.111, 0.875, 0.478]]","[[0.09071678668260574, 0.035555556416511536, 0.6459755301475525, 0.874666690826416]]"
26,3250391868322_1,0.235971793962002,"nutrition-table-text(69,378),(811,433)","[[0.069, 0.378, 0.811, 0.433]]","[[0.41140130162239075, 0.08299999684095383, 0.4372367262840271, 0.5504999756813049]]"
27,3222472951582_1,0.644661920452857,"nutrition-table-text(161,425),(846,523)","[[0.161, 0.425, 0.846, 0.523]]","[[0.4035947620868683, 0.15716911852359772, 0.5028594732284546, 0.8403798937797546]]"
28,0028400160148_3,0.966498919414251,"nutrition-table(263,83),(700,527)","[[0.263, 0.083, 0.7, 0.527]]","[[0.07842205464839935, 0.26057693362236023, 0.5247148275375366, 0.6942307949066162]]"
29,50172436_2,0.9040761161145809,"nutrition-table(241,531),(756,827)","[[0.241, 0.531, 0.756, 0.827]]","[[0.5185453295707703, 0.2475000023841858, 0.8144303560256958, 0.7538642883300781]]"
30,3564700435106_1,0.551939418753163,"nutrition-table(18,225),(800,785)","[[0.018, 0.225, 0.8, 0.785]]","[[0.45500001311302185, 0.03333333507180214, 0.7839999794960022, 0.7680000066757202]]"
31,0070852000527_3,0.6429130866180617,"nutrition-table(263,303),(716,688)","[[0.263, 0.303, 0.716, 0.688]]","[[0.30067017674446106, 0.2668306231498718, 0.6809813380241394, 0.5646584630012512]]"
32,0074333375531_2,0.9604104625215876,"nutrition-table(315,16),(835,421)","[[0.315, 0.016, 0.835, 0.421]]","[[0.01549999974668026, 0.3271111249923706, 0.42129722237586975, 0.8428096771240234]]"
33,0024138012322_3,0.7345665380467564,"nutrition-table(259,213),(726,790)","[[0.259, 0.213, 0.726, 0.79]]","[[0.2523888945579529, 0.22534170746803284, 0.7603698968887329, 0.7976398468017578]]"
34,0028400071345_2,0.5620669954489766,"nutrition-table(105,296),(863,741)","[[0.105, 0.296, 0.863, 0.741]]","[[0.3015168607234955, 0.41604506969451904, 0.730426013469696, 0.8717617392539978]]"
35,0041449003153_2,0.17803740339843654,"nutrition-table(63,235),(473,812)","[[0.063, 0.235, 0.473, 0.812]]","[[0.05151815712451935, 0.1816302090883255, 0.493232786655426, 0.7731568813323975]]"
36,20720162_2,0.9068005372662771,"nutrition-table(236,119),(736,720)","[[0.236, 0.119, 0.736, 0.72]]","[[0.12224264442920685, 0.22811885178089142, 0.7647966742515564, 0.7385438084602356]]"
37,3700003780349_1,0.03242145956322614,"nutrition-table-small-energy(762,500),(862,800)","[[0.762, 0.5, 0.862, 0.8]]","[[0.729903519153595, 0.18820860981941223, 0.8062701225280762, 0.7962422966957092]]"
38,0037600106252_4,0.9009876799434166,"nutrition-table(231,233),(530,670)","[[0.231, 0.233, 0.53, 0.67]]","[[0.24952471256256104, 0.24551281332969666, 0.6686172485351562, 0.5339743494987488]]"
