sample_idx,image_id,iou,prediction,pred_boxes,gt_boxes
0,0041129077641_1,0.40831978254447815,"nutrition-table<box>(265,492),(735,842)>","[[0.265, 0.492, 0.735, 0.842]]","[[0.4871672987937927, 0.27339744567871094, 0.6409340500831604, 0.7304487228393555]]"
1,0070200581159_1,0.27330185032434984,"nutrition-table<box>(131,242),(902,749)</box>","[[0.131, 0.242, 0.902, 0.749]]","[[0.24662990868091583, 0.26552286744117737, 0.4532569646835327, 0.7825552225112915]]"
2,0064144043064_2,0.5861555781416548,"nutrition-table<box>(10,98),(932,773)</box>","[[0.01, 0.098, 0.932, 0.773]]","[[0.10315078496932983, 0.04094965010881424, 0.5143317580223083, 0.9385930299758911]]"
3,0051500700167_1,0.4958154951474262,"nutrition-table<box>(100,306),(902,855)</box>","[[0.1, 0.306, 0.902, 0.855]]","[[0.3143387734889984, 0.16432449221611023, 0.8336485028266907, 0.5847028493881226]]"
4,0016447100951_1,0.5875221024060953,"nutrition-table<box>(357,355),(552,766)</box>","[[0.357, 0.355, 0.552, 0.766]]","[[0.3629959225654602, 0.3499999940395355, 0.6154987215995789, 0.559499979019165]]"
5,26195070_4,0.9518701956119381,"nutrition-table<box>(328,133),(700,806)></box>","[[0.328, 0.133, 0.7, 0.806]]","[[0.14399999380111694, 0.31886398792266846, 0.8074771165847778, 0.7026360034942627]]"
6,0041244641024_3,0.9948292319032533,"nutrition-table<box>(0,0),(1000,999)</box>","[[0.0, 0.0, 1.0, 0.999]]","[[0.0, 0.004179104696959257, 1.0, 1.0]]"
7,26235066_5,0.9034107994034576,"nutrition-table<box>(242,441),(832,808)</box>","[[0.242, 0.441, 0.832, 0.808]]","[[0.44200000166893005, 0.2275555580854416, 0.7934580445289612, 0.8545454740524292]]"
8,3571492670004_7,0.9825631867027896,"nutrition-table<box>(19,13),(951,617)","[[0.019, 0.013, 0.951, 0.617]]","[[0.013333333656191826, 0.013641132973134518, 0.6200000047683716, 0.9569779634475708]]"
9,3256224806950_3,0.9652919235183005,"nutrition-table<box>(48,258),(564,973)","[[0.048, 0.258, 0.564, 0.973]]","[[0.2606924772262573, 0.04060913622379303, 0.9775967597961426, 0.5697969794273376]]"
10,0072417153051_3,0.4619421163636904,"nutrition-table<box>(277,289),(684,831)","[[0.277, 0.289, 0.684, 0.831]]","[[0.29858630895614624, 0.26605692505836487, 0.828700840473175, 0.7013829350471497], [0.823117196559906, 0.39508920907974243, 0.9998784065246582, 0.6713286638259888]]"
11,103106_4,0.8609168744219717,"nutrition-table<box>(12,105),(988,987)</box>","[[0.012, 0.105, 0.988, 0.987]]","[[0.0, 0.0, 0.9999014139175415, 1.0]]"
12,20635923_2,0.1420543436471252,"nutrition-table<box>(62,74),(894,871)","[[0.062, 0.074, 0.894, 0.871]]","[[0.09556451439857483, 0.5580645203590393, 0.8540322780609131, 0.6822580695152283]]"
